Finding ID,Asset Type,Asset ID,Category,Severity,Confidence,Risk Score,Title,Recommendation,Detection Method,Affected Samples Count,Evidence,Limitations,Description
F-DS-BENCHMARK-01-001,DATASET,DS-BENCHMARK-01,NEAR_DUPLICATE,HIGH,0.95,17.9,Perceptual Near-Duplicate Flooding Detected (1 clusters),ACCEPT,pHash & dHash Perceptual Hashing,5,Detected 1 duplicate cluster(s) with similarity >= 0.95 | Total duplicate samples: 5,Severe non-linear warping or heavy crops may elude standard perceptual hashes.,"Perceptual hashing (pHash/dHash) identified 5 images forming near-identical visual clusters, indicating duplicate flooding."
F-DS-BENCHMARK-01-002,DATASET,DS-BENCHMARK-01,LABEL_FLIP,HIGH,0.92,29.2,Systematic Mislabelling & Label Noise Detected (5 samples),ACCEPT,k-Nearest Neighbors (k=5) Feature Disagreement,5,5 samples conflict with nearest visual feature neighbors. | Affected sources: ['source_rogue_3'],Relies on low-level statistical features; subtle semantic distinctions may exhibit overlap.,Visual feature neighborhood consensus revealed samples whose assigned ground-truth label directly contradicts the consensus label of their nearest visual neighbors.
F-DS-BENCHMARK-01-003,DATASET,DS-BENCHMARK-01,OOD,HIGH,0.75,19.4,Out-of-Distribution Inliers/Outliers Detected (4 samples),ACCEPT,IsolationForest (Internal Population),4,4 samples exceeded anomaly threshold. | Overall OOD score: 0.37,Unsupervised density estimation without dedicated reference dataset.,Isolation Forest modeling flagged samples exhibiting anomalous multivariate visual feature distributions outside the normal training manifold.
F-DS-BENCHMARK-01-004,DATASET,DS-BENCHMARK-01,TRIGGER,CRITICAL,0.95,74.4,Potential Visual Trigger / Backdoor Patch Identified (1 clusters),QUARANTINE,Multi-region Localized Patch Cosine Correlation,5,"Identified 1 localized trigger pattern cluster(s). | Affected samples: ['sample_0049', 'sample_0048', 'sample_0046', 'sample_0047', 'sample_0045']",Detects fixed spatial patches; subtle blended perturbations require white-box gradient attribution.,Spatial patch analysis identified repeated localized visual patterns sharing high cosine similarity and disproportionate correlation with specific target labels.
F-DS-BENCHMARK-01-005,DATASET,DS-BENCHMARK-01,SOURCE_POISONING,HIGH,0.9,49.7,Source/Contributor Poisoning Anomaly (2 sources flagged),QUARANTINE,Hierarchical Contributor & Batch Anomaly Rollup,0,"Flagged poisoned sources: ['source_rogue_3', 'source_flood_2']",Requires contributor and source batch metadata in dataset records.,Hierarchical risk aggregation identified specific data contributors or ingestion batches contributing disproportionate volumes of anomalous samples.
F-MOD-SUB-ONNX-001,MODEL,MOD-SUB-ONNX,MODEL_SUBSTITUTION,CRITICAL,1.0,100.0,Model Integrity Deviation: SUBSTITUTION_DETECTED,QUARANTINE,Cryptographic Fingerprint & Tensor Parameter Comparison,0,Candidate SHA-256: 82bd8ad3fde3b94e2024ff54f3743a1e98b0d07004752c6d63a0c51493ba313f | Reference SHA-256: 8bb12146a821fa67389d3160a218330e51c43e55bd734954f3422414834f78c1 | Parameter difference ratio: 82% | Weight norm difference ratio: 52%,Requires valid baseline reference model for identity assertion.,"Severe model substitution detected: Candidate SHA-256 differs (82bd8ad3fde3... vs ref 8bb12146a821...), parameter count differs by 82% (92483 vs 529635)."
F-MOD-SUB-ONNX-002,MODEL,MOD-SUB-ONNX,BACKDOOR_BEHAVIOUR,HIGH,0.9,63.2,Behavioural Battery Instability Detected (Agreement: 0%),REVIEW,Controlled Environmental & Perturbation Input Battery,0,Behavioural class agreement: 0% | Anomalous test inputs: 24,Synthetically perturbed inputs evaluate robustness; subtle adversarial triggers may require gradient attacks.,Candidate model exhibited divergent prediction outputs on 24 of 24 perturbation tests compared to reference.
F-TAMP-58DFF5,INFERENCE,REC-D65C06E75EDC-TAMP,TAMPERING,CRITICAL,1.0,100.0,Inference Output Tampering Detected in Record REC-D65C06E75EDC-TAMP,QUARANTINE,SHA-256 Hash Binding & Ed25519 Digital Signature Verification,1,"OUTPUT_PAYLOAD (expected a166afe5cca2..., got a6e8c128ab8c...)",,Cryptographic hash binding verification failed on inference record payload.
F-REP-94D233,INFERENCE,REC-RPLY-FDC7474D-REPLAY,REPLAY,CRITICAL,1.0,100.0,Inference Replay Attack Detected: Nonce Reuse in Record REC-RPLY-FDC7474D-REPLAY,QUARANTINE,Inference Nonce Registry & Monotonic Sequence Tracking,1,"Cryptographic nonce 'nonce_auth_001' was previously used in record 'REC-BED19CBA52D8'. | Monotonic sequence number 101 already consumed by record 'REC-BED19CBA52D8'. | Sequence regression: submitted sequence 101 is <= current sequence head 101. | Potential inference replay: exact input image, model, and output match prior record 'REC-BED19CBA52D8'.",,Replay attack detection identified duplicate nonce and non-monotonic sequence counters.
F-DS-SHIFT-DOMAIN-001,DATASET,DS-SHIFT-DOMAIN,OOD,MEDIUM,0.75,8.1,Out-of-Distribution Inliers/Outliers Detected (2 samples),ACCEPT,IsolationForest (Internal Population),2,2 candidate samples exceeded the 95th anomaly percentile. | Overall population OOD anomaly score is 0.45. | Evaluation method: IsolationForest (Internal Population).,Unsupervised density estimation on candidate dataset; highly benefited by explicit reference baseline.,Isolation Forest modeling flagged samples exhibiting anomalous multivariate visual feature distributions outside the normal training manifold.
